1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
2431	-0.293835	49.495449	0.797196	0.037275	1.7
2432	-0.263274	48.577548	0.807713	0.032317	1.5
2433	-0.289699	49.577547	0.796268	0.029631	1.3
2434	-0.285226	48.708743	0.806193	0.037320	1.3
2435	-0.287500	47.758249	0.817337	0.039701	1.5
2436	-0.269777	48.756458	0.805641	0.021766	1.3
2437	-0.300096	47.805753	0.816773	0.047284	1.3
2438	-0.303663	48.805753	0.805072	0.024434	2.0
2439	-0.281214	47.855048	0.816188	0.013803	2.0
2440	-0.286672	47.261053	0.823290	0.015352	2.0
2441	-0.264000	47.718447	0.817811	0.023921	1.6
2442	-0.239674	46.778157	0.829156	0.037806	1.5
2443	-0.249773	47.777596	0.817107	0.047585	1.8
2444	-0.277825	48.777596	0.805397	0.034451	1.6
2445	-0.311878	49.777596	0.794018	0.023673	1.3
2446	-0.297446	48.837908	0.804702	0.015152	1.4
2447	-0.276315	49.727676	0.794578	0.011759	1.6
2448	-0.262912	49.606524	0.795942	0.082941	1.6
2449	-0.304141	50.606523	0.784826	0.051417	1.5
2450	-0.311031	49.655818	0.795386	0.037690	1.4
2451	-0.274351	50.655818	0.784286	0.032670	1.5
2452	-0.284145	50.211569	0.789179	0.055201	1.5
2453	-0.306536	51.211569	0.778250	0.033086	1.3
2454	-0.285938	50.260871	0.788633	0.019233	1.2
2455	-0.319721	49.318069	0.799207	0.019719	1.4
2456	-0.275899	50.133433	0.790046	0.035425	1.7
2457	-0.298394	49.182749	0.800748	0.019868	2.8
2458	-0.292947	50.182658	0.789499	0.014971	1.8
2459	-0.287691	49.788102	0.793900	0.055600	1.4
2460	-0.298371	50.788027	0.782842	0.027177	1.3
2461	-0.299132	51.788027	0.772087	0.024525	1.3
2462	-0.292389	52.787960	0.761624	0.013170	1.2
2463	-0.293117	53.710368	0.752221	0.049084	1.3
2464	-0.298425	52.769000	0.761820	0.039462	1.4
2465	-0.281681	53.769000	0.751631	0.006158	1.5
2466	-0.335439	52.948648	0.759969	0.036230	1.4
2467	-0.267232	53.888997	0.750426	0.065424	1.5
2468	-0.298758	52.938292	0.760075	0.016195	1.5
2469	-0.309086	51.988298	0.769968	0.036056	1.6
2470	-0.300127	52.707573	0.762455	0.045685	1.7
2471	-0.311466	51.874035	0.771176	0.034065	1.7
2472	-0.257901	50.923337	0.781369	0.048603	1.3
2473	-0.312268	49.972631	0.791836	0.034352	1.3
2474	-0.305308	50.972620	0.780834	0.033711	1.4
2475	-0.252956	50.021918	0.791286	0.017078	1.4
2476	-0.267693	49.206918	0.800472	0.037481	1.8
2477	-0.278069	49.969298	0.791873	0.037564	1.7
2478	-0.286417	49.018595	0.802625	0.031940	1.6
2479	-0.304764	50.018594	0.791323	0.044258	1.4
2480	-0.278761	49.067889	0.802060	0.046646	1.3
2481	-0.261757	48.117184	0.813093	0.019519	1.3
2482	-0.292588	49.117184	0.801496	0.049221	1.3
2483	-0.286543	50.117179	0.790226	0.020470	1.4
2484	-0.321419	51.117118	0.779270	0.015753	1.5
2485	-0.313511	50.182548	0.789501	0.011840	1.3
2486	-0.275813	49.310677	0.799291	0.033841	1.3
2487	-0.307848	48.396712	0.809818	0.025707	1.5
2488	-0.283474	47.446054	0.821065	0.044589	1.4
2489	-0.306288	48.446037	0.809242	0.018548	1.3
2490	-0.320801	49.441982	0.797801	0.033168	1.5
2491	-0.288210	50.202245	0.789282	0.037381	1.3
2492	-0.271999	51.202245	0.778351	0.052617	1.3
2493	-0.313343	50.459643	0.786439	0.073421	1.3
2494	-0.300117	49.508937	0.797043	0.052136	1.3
2495	-0.297900	50.508937	0.785897	0.029728	1.3
2496	-0.300650	49.558232	0.796486	0.008405	1.6
2497	-0.297399	48.800926	0.805128	0.021514	1.7
2498	-0.317316	49.471125	0.797471	0.065471	2.0
2499	-0.274223	48.520420	0.808376	0.055317	1.4
2500	-0.282322	47.569715	0.819584	0.051908	1.3
2501	-0.305543	46.619009	0.831108	0.042390	1.9
2502	-0.299256	45.668304	0.842959	0.031757	1.4
2503	-0.281229	44.717599	0.855154	0.038205	1.3
2504	-0.303989	43.766894	0.867707	0.036182	1.5
2505	-0.284246	42.816190	0.880633	0.031982	1.6
2506	-0.284113	43.813788	0.867079	0.028983	1.7
2507	-0.281042	44.716224	0.855172	0.009188	1.6
2508	-0.301506	45.703796	0.842511	0.046400	1.6
2509	-0.275791	44.754324	0.854676	0.115149	1.4
2510	-0.287898	45.754324	0.841873	0.015797	1.5
2511	-0.295049	44.803619	0.854036	0.025449	1.4
2512	-0.287673	45.801622	0.841277	0.072998	1.3
2513	-0.301001	46.801622	0.828869	0.060046	1.3
2514	-0.304538	45.850917	0.840657	0.050098	1.4
2515	-0.295886	46.850917	0.828267	0.038770	2.8
2516	-0.304260	47.850917	0.816237	0.011499	3.1
2517	-0.272570	46.902399	0.827639	0.022797	1.7
2518	-0.302479	47.828700	0.816501	0.022543	1.6
2519	-0.300997	46.878179	0.827934	0.012502	1.5
2520	-0.287192	45.956240	0.839334	0.034618	1.4
2521	-0.283946	46.955436	0.826993	0.044558	1.3
2522	-0.275001	46.004734	0.838727	0.039400	1.6
2523	-0.287731	47.004734	0.826394	0.036890	1.4
2524	-0.285271	46.054028	0.838110	0.037718	1.3
2525	-0.281260	45.103323	0.850164	0.036407	1.5
2526	-0.274781	46.102746	0.837502	0.039172	1.5
2527	-0.266671	47.099093	0.825248	0.020689	1.5
2528	-0.283687	48.098657	0.813311	0.015038	1.3
2529	-0.285465	47.162291	0.824483	0.016353	1.3
2530	-0.302632	47.616417	0.819027	0.032320	1.3
2531	-0.299975	48.570773	0.807791	0.021919	1.4
2532	-0.314477	47.620310	0.818980	0.033955	1.3
2533	-0.278696	48.617006	0.807255	0.013191	1.6
2534	-0.293217	47.671752	0.818367	0.018241	1.8
